,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
121,2021-12-27,1021.8935892073841,901.816492619791,1125.6137811037693,1021.8935892073841,1021.8935892073841,-3.6745965719978684,-3.6745965719978684,-3.6745965719978684,-3.6745965719978684,-3.6745965719978684,-3.6745965719978684,0.0,0.0,0.0,1018.2189926353863
122,2021-12-28,1020.8667999726856,892.4617415709929,1122.3859112473413,1020.8667999726856,1020.8667999726856,-8.923456451025407,-8.923456451025407,-8.923456451025407,-8.923456451025407,-8.923456451025407,-8.923456451025407,0.0,0.0,0.0,1011.9433435216602
123,2021-12-29,1019.840010737987,909.4949623332557,1125.6850152702875,1019.840010737987,1019.840010737987,-6.834951735261337,-6.834951735261337,-6.834951735261337,-6.834951735261337,-6.834951735261337,-6.834951735261337,0.0,0.0,0.0,1013.0050590027256
124,2021-12-30,1018.8132215032884,886.772949025065,1116.5475448989519,1018.8132215032884,1018.8132215032884,-15.362029921688166,-15.362029921688166,-15.362029921688166,-15.362029921688166,-15.362029921688166,-15.362029921688166,0.0,0.0,0.0,1003.4511915816003
125,2021-12-31,1017.78643226859,893.4572279045165,1106.4919958432642,1017.78643226859,1017.78643226859,-19.732686403057148,-19.732686403057148,-19.732686403057148,-19.732686403057148,-19.732686403057148,-19.732686403057148,0.0,0.0,0.0,998.0537458655328
126,2022-01-03,1014.7060645644943,893.802279043043,1129.4053362046386,1014.7060645644943,1014.7060645644943,-3.674596571913669,-3.674596571913669,-3.674596571913669,-3.674596571913669,-3.674596571913669,-3.674596571913669,0.0,0.0,0.0,1011.0314679925807
127,2022-01-04,1013.679275329796,900.267842143257,1120.936129349872,1013.679275329796,1013.679275329796,-8.923456450982497,-8.923456450982497,-8.923456450982497,-8.923456450982497,-8.923456450982497,-8.923456450982497,0.0,0.0,0.0,1004.7558188788136
128,2022-01-05,1012.6524860762694,880.6247412955906,1116.1240946531552,1012.6524860762694,1012.6524860762694,-6.834951735249312,-6.834951735249312,-6.834951735249312,-6.834951735249312,-6.834951735249312,-6.834951735249312,0.0,0.0,0.0,1005.8175343410201
129,2022-01-06,1011.6256968227428,891.4586645895031,1118.522999531108,1011.6256968227428,1011.6256968227428,-15.362029921691173,-15.362029921691173,-15.362029921691173,-15.362029921691173,-15.362029921691173,-15.362029921691173,0.0,0.0,0.0,996.2636669010517
130,2022-01-07,1010.5989075692163,882.5725377734941,1098.8042626454946,1010.5989075692163,1010.5989075692163,-19.732686403040493,-19.732686403040493,-19.732686403040493,-19.732686403040493,-19.732686403040493,-19.732686403040493,0.0,0.0,0.0,990.8662211661758
131,2022-01-10,1007.5185398086365,891.3344527847239,1107.2851801275167,1007.5185398086365,1007.5185398086365,-3.674596571941152,-3.674596571941152,-3.674596571941152,-3.674596571941152,-3.674596571941152,-3.674596571941152,0.0,0.0,0.0,1003.8439432366954
132,2022-01-11,1006.4917505551101,893.5747889575466,1106.8829742560497,1006.4917505551101,1006.4917505551101,-8.923456450997227,-8.923456450997227,-8.923456450997227,-8.923456450997227,-8.923456450997227,-8.923456450997227,0.0,0.0,0.0,997.5682941041129
133,2022-01-12,1005.4649613015837,891.1787185140495,1110.7106461533042,1005.4649613015837,1005.4649613015837,-6.834951735257574,-6.834951735257574,-6.834951735257574,-6.834951735257574,-6.834951735257574,-6.834951735257574,0.0,0.0,0.0,998.6300095663261
134,2022-01-13,1004.438172048057,873.4028169202841,1102.3767399789845,1004.438172048057,1004.438172048057,-15.36202992170967,-15.36202992170967,-15.36202992170967,-15.36202992170967,-15.36202992170967,-15.36202992170967,0.0,0.0,0.0,989.0761421263473
135,2022-01-14,1003.4113827945306,881.9002907705834,1087.1374516951805,1003.4113827945306,1003.4113827945306,-19.73268640313617,-19.73268640313617,-19.73268640313617,-19.73268640313617,-19.73268640313617,-19.73268640313617,0.0,0.0,0.0,983.6786963913944
136,2022-01-18,999.304225910953,881.5305694758212,1092.2371526598897,999.304225910953,999.304225910953,-8.923456451011957,-8.923456451011957,-8.923456451011957,-8.923456451011957,-8.923456451011957,-8.923456451011957,0.0,0.0,0.0,990.3807694599411
137,2022-01-19,998.2774366900586,886.588324666879,1101.1510137023567,998.2774366900586,998.2774366900586,-6.834951735245766,-6.834951735245766,-6.834951735245766,-6.834951735245766,-6.834951735245766,-6.834951735245766,0.0,0.0,0.0,991.4424849548128
138,2022-01-20,997.2506474691642,872.1769576894508,1101.2121787317253,997.2506474691642,997.2506474691642,-15.362029921720419,-15.362029921720419,-15.362029921720419,-15.362029921720419,-15.362029921720419,-15.362029921720419,0.0,0.0,0.0,981.8886175474438
139,2022-01-21,996.2238582482698,860.6762682906012,1088.6415410178486,996.2238582482698,996.2238582482698,-19.732686403113185,-19.732686403113185,-19.732686403113185,-19.732686403113185,-19.732686403113185,-19.732686403113185,0.0,0.0,0.0,976.4911718451566
140,2022-01-24,993.1434905855867,871.4653483283813,1104.0849382028816,993.1434905855867,993.1434905855867,-3.674596571852791,-3.674596571852791,-3.674596571852791,-3.674596571852791,-3.674596571852791,-3.674596571852791,0.0,0.0,0.0,989.4688940137339
141,2022-01-25,992.1167013646922,869.46760247864,1099.401648896222,992.1167013646922,992.1167013646922,-8.923456450969047,-8.923456450969047,-8.923456450969047,-8.923456450969047,-8.923456450969047,-8.923456450969047,0.0,0.0,0.0,983.1932449137231
142,2022-01-26,991.0899121437978,874.8476461844626,1098.5382356068887,991.0899121437978,991.0899121437978,-6.834951735254031,-6.834951735254031,-6.834951735254031,-6.834951735254031,-6.834951735254031,-6.834951735254031,0.0,0.0,0.0,984.2549604085439
143,2022-01-27,990.0631229229035,867.7865934937086,1078.287320555071,990.0631229229035,990.0631229229035,-15.362029921731171,-15.362029921731171,-15.362029921731171,-15.362029921731171,-15.362029921731171,-15.362029921731171,0.0,0.0,0.0,974.7010930011724
144,2022-01-28,989.0363336282833,856.8690351186929,1083.9560683022864,989.0363336282833,989.0363336282833,-19.73268640309019,-19.73268640309019,-19.73268640309019,-19.73268640309019,-19.73268640309019,-19.73268640309019,0.0,0.0,0.0,969.3036472251931
145,2022-01-31,985.9559657444229,879.6433579589708,1093.0775591312865,985.9559657444229,985.9559657444229,-3.674596571880273,-3.674596571880273,-3.674596571880273,-3.674596571880273,-3.674596571880273,-3.674596571880273,0.0,0.0,0.0,982.2813691725426
146,2022-02-01,984.9291764498026,860.644514171319,1087.427640538986,984.9291764498026,984.9291764498026,-8.92345645098378,-8.92345645098378,-8.92345645098378,-8.92345645098378,-8.92345645098378,-8.92345645098378,0.0,0.0,0.0,976.0057199988189
147,2022-02-02,983.9023871551825,869.9750729242154,1089.2044536142607,983.9023871551825,983.9023871551825,-6.834951735242003,-6.834951735242003,-6.834951735242003,-6.834951735242003,-6.834951735242003,-6.834951735242003,0.0,0.0,0.0,977.0674354199405
148,2022-02-03,982.8755978605624,851.3450388481738,1091.5772469339086,982.8755978605624,982.8755978605624,-15.362029921741925,-15.362029921741925,-15.362029921741925,-15.362029921741925,-15.362029921741925,-15.362029921741925,0.0,0.0,0.0,967.5135679388204
149,2022-02-04,981.8488085659424,850.3068915116496,1078.4035976319979,981.8488085659424,981.8488085659424,-19.732686403192208,-19.732686403192208,-19.732686403192208,-19.732686403192208,-19.732686403192208,-19.732686403192208,0.0,0.0,0.0,962.1161221627501
150,2022-02-07,978.7684406820819,863.8587932366428,1086.059207203164,978.7684406820819,978.7684406820819,-3.674596571907751,-3.674596571907751,-3.674596571907751,-3.674596571907751,-3.674596571907751,-3.674596571907751,0.0,0.0,0.0,975.0938441101741
151,2022-02-08,977.7416513874617,857.8827452670613,1073.903181229133,977.7416513874617,977.7416513874617,-8.92345645096969,-8.92345645096969,-8.92345645096969,-8.92345645096969,-8.92345645096969,-8.92345645096969,0.0,0.0,0.0,968.8181949364921
